,name,mana_cost,cmc,oracle_text,power,toughness,prices,set
6631,Asylum Visitor,{1}{B},2.0,At the beginning of each player's upkeep  if that player has no cards in hand  you draw a card and you lose 1 life. Madness {1}{B} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),3,1,0.23,c19
6632,Malakir Bloodwitch,{3}{B}{B},5.0,Flying  protection from white When This Card enters the battlefield  each opponent loses life equal to the number of Vampires you control. You gain life equal to the life lost this way.,4,4,0.43,voc
6633,Skirk Fire Marshal,{3}{R}{R},5.0,Protection from red Tap five untapped Goblins you control: This Card deals 10 damage to each creature and each player.,2,2,3.51,evg
6634,Strongarm Monk,{4}{W},5.0,Whenever you cast a noncreature spell  creatures you control get +1/+1 until end of turn.,3,3,0.10,dtk
6635,Karoo Meerkat,{1}{G},2.0,Protection from blue,2,1,0.20,mir
6636,Unblinking Observer,{1}{U},2.0,{T}: Add {U}. Spend this mana only to pay a disturb cost or cast an instant or sorcery spell.,2,1,0.01,mid
6637,Colossal Skyturtle,{4}{G}{G}{U},7.0,Flying  ward {2} Channel — {2}{G}  Discard This Card: Return target card from your graveyard to your hand. Channel — {1}{U}  Discard This Card: Return target creature to its owner's hand.,6,5,0.25,neo
6638,Soul of Zendikar,{4}{G}{G},6.0,Reach {3}{G}{G}: Create a 3/3 green Beast creature token. {3}{G}{G}  Exile This Card from your graveyard: Create a 3/3 green Beast creature token.,6,6,0.21,c19
6639,Search Party Captain,{3}{W},4.0,This spell costs {1} less to cast for each creature you attacked with this turn. When This Card enters the battlefield  draw a card.,2,2,0.05,mid
6640,Stonebinder's Familiar,{W},1.0,Whenever one or more cards are put into exile during your turn  put a +1/+1 counter on This Card. This ability triggers only once each turn.,1,1,0.08,stx
6641,Treefolk Seedlings,{2}{G},3.0,This Card's toughness is equal to the number of Forests you control.,2,*,0.23,7ed
6642,Svyelun of Sea and Sky,{1}{U}{U},3.0,This Card has indestructible as long as you control at least two other Merfolk. Whenever Svyelun attacks  draw a card. Other Merfolk you control have ward {1}. (Whenever another Merfolk you control becomes the target of a spell or ability an opponent controls  counter it unless that player pays {1}.),3,4,2.79,mh2
6643,Elvish Piper,{3}{G},4.0,{G}  {T}: You may put a creature card from your hand onto the battlefield.,1,1,6.05,a25
6644,Mana-Charged Dragon,{4}{R}{R},6.0,Flying  trample Join forces — Whenever This Card attacks or blocks  each player starting with you may pay any amount of mana. This Card gets +X/+0 until end of turn  where X is the total amount of mana paid this way.,5,5,1.22,cma
6645,Servant of Nefarox,{2}{B},3.0,Exalted (Whenever a creature you control attacks alone  that creature gets +1/+1 until end of turn.),3,1,0.07,m13
6646,Bastion Enforcer,{2}{W},3.0,_,3,2,0.13,m20
6647,Marauding Knight,{2}{B}{B},4.0,Protection from white This Card gets +1/+1 for each Plains your opponents control.,2,2,0.45,inv
6648,Scarwood Treefolk,{3}{G},4.0,This Card enters the battlefield tapped.,3,5,0.06,tsp
6649,Trostani's Summoner,{5}{G}{W},7.0,When This Card enters the battlefield  create a 2/2 white Knight creature token with vigilance  a 3/3 green Centaur creature token  and a 4/4 green Rhino creature token with trample.,1,1,0.05,mic
6650,Nightshade Harvester,{3}{B},4.0,Whenever a land enters the battlefield under an opponent's control  that player loses 1 life. Put a +1/+1 counter on This Card.,2,2,0.16,cmr
6651,Wall of Resurgence,{2}{W},3.0,Defender When This Card enters the battlefield  you may put three +1/+1 counters on target land you control. If you do  that land becomes a 0/0 Elemental creature with haste that's still a land.,0,6,0.15,ogw
6652,Ride Guide,{4}{W},5.0,When This Card enters the battlefield  open an Attraction. (Put the top card of your Attraction deck onto the battlefield.),4,4,0.04,unf
6653,Clay Golem,{4},4.0,{6}  Roll a d8: Monstrosity X  where X is the result. (If this creature isn't monstrous  put X +1/+1 counters on it and it becomes monstrous.) Berserk — When This Card becomes monstrous  destroy target permanent.,4,4,0.11,afc
6654,Thrashing Mossdog,{3}{G},4.0,Reach (This creature can block creatures with flying.) Scavenge {4}{G}{G} ({4}{G}{G}  Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.),3,3,0.10,dgm
6655,Skyshroud Falcon,{1}{W},2.0,Flying  vigilance,1,1,0.14,7ed
6656,Orzhov Guildmage,{W/B}{W/B},2.0,{2}{W}: Target player gains 1 life. {2}{B}: Each player loses 1 life.,2,2,0.20,cma
6657,Seascape Aerialist,{4}{U},5.0,Whenever This Card or another Ally enters the battlefield under your control  you may have Ally creatures you control gain flying until end of turn.,2,3,0.11,zen
6658,Blistering Barrier,{2}{R},3.0,Defender (This creature can't attack.),5,2,0.09,mir
6659,Diving Griffin,{1}{W}{W},3.0,Flying  vigilance,2,2,0.10,8ed
6660,Goblin Bushwhacker,{R},1.0,Kicker {R} (You may pay an additional {R} as you cast this spell.) When This Card enters the battlefield  if it was kicked  creatures you control get +1/+0 and gain haste until end of turn.,1,1,0.67,zen
6661,Zoologist,{3}{G},4.0,{3}{G}  {T}: Reveal the top card of your library. If it's a creature card  put it onto the battlefield. Otherwise  put it into your graveyard.,1,2,0.52,ody
6662,Gruul Scrapper,{3}{G},4.0,When This Card enters the battlefield  if {R} was spent to cast it  it gains haste until end of turn.,3,2,0.05,gpt
6663,Pious Wayfarer,{W},1.0,Constellation — Whenever an enchantment enters the battlefield under your control  target creature gets +1/+1 until end of turn.,1,2,0.01,thb
6664,Sightless Ghoul,{3}{B},4.0,This Card can't block. Undying (When this creature dies  if it had no +1/+1 counters on it  return it to the battlefield under its owner's control with a +1/+1 counter on it.),2,2,0.12,dka
6665,Ohran Viper,{1}{G}{G},3.0,Whenever This Card deals combat damage to a creature  destroy that creature at end of combat. Whenever This Card deals combat damage to a player  you may draw a card.,1,3,0.59,c15
6666,Nath of the Gilt-Leaf,{3}{B}{G},5.0,At the beginning of your upkeep  you may have target opponent discard a card at random. Whenever an opponent discards a card  you may create a 1/1 green Elf Warrior creature token.,4,4,2.72,c16
6667,Abstract Iguanart,{1}{R},2.0,Whenever you cast a spell  note the first letter of its artist's name. If that letter wasn't already noted  put a +1/+1 counter on This Card.,1,1,0.16,und
6668,Freejam Regent,{4}{R}{R},6.0,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.) Flying {1}{R}: This Card gets +2/+0 until end of turn.,4,4,0.09,aer
6669,Mossbridge Troll,{5}{G}{G},7.0,If This Card would be destroyed  regenerate it. Tap any number of untapped creatures you control other than This Card with total power 10 or greater: This Card gets +20/+20 until end of turn.,5,5,2.75,shm
6670,Bloodshot Trainee,{3}{R},4.0,{T}: This Card deals 4 damage to target creature. Activate only if This Card's power is 4 or greater.,2,3,0.01,2xm
6671,One-Eyed Scarecrow,{3},3.0,Defender Creatures with flying your opponents control get -1/-0.,2,3,0.19,isd
6672,False Prophet,{2}{W}{W},4.0,When This Card dies  exile all creatures.,2,2,0.69,cmd
6673,Spectral Guardian,{2}{W}{W},4.0,As long as This Card is untapped  noncreature artifacts have shroud. (They can't be the targets of spells or abilities.),2,3,3.25,mir
6674,Toxic Iguanar,{R},1.0,This Card has deathtouch as long as you control a green permanent. (Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it.),1,1,0.06,con
6675,Kitsune Riftwalker,{1}{W}{W},3.0,Protection from Spirits and from Arcane,2,1,0.09,chk
6676,Seller of Songbirds,{2}{W},3.0,When This Card enters the battlefield  create a 1/1 white Bird creature token with flying.,1,2,0.09,rtr
6677,"Jarad, Golgari Lich Lord",{B}{B}{G}{G},4.0,This Card gets +1/+1 for each creature card in your graveyard. {1}{B}{G}  Sacrifice another creature: Each opponent loses life equal to the sacrificed creature's power. Sacrifice a Swamp and a Forest: Return Jarad from your graveyard to your hand.,2,2,1.78,cma
6678,Historian of Zhalfir,{2}{U}{U},4.0,Whenever This Card attacks  if you control a Teferi planeswalker  draw a card.,3,3,0.11,m21
6679,Myojin of Seeing Winds,{7}{U}{U}{U},10.0,This Card enters the battlefield with a divinity counter on it if you cast it from your hand. This Card has indestructible as long as it has a divinity counter on it. Remove a divinity counter from This Card: Draw a card for each permanent you control.,3,3,5.42,chk
6680,Desolation Angel,{3}{B}{B},5.0,Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.) Flying When This Card enters the battlefield  destroy all lands you control. If it was kicked  destroy all lands instead.,5,4,1.19,apc
6681,Turtleshell Changeling,{3}{U},4.0,Changeling (This card is every creature type.) {1}{U}: Switch This Card's power and toughness until end of turn.,1,4,0.21,lrw
6682,Boggart Brute,{2}{R},3.0,Menace (This creature can't be blocked except by two or more creatures.),3,2,0.01,jmp
6683,"Miirym, Sentinel Wyrm",{3}{G}{U}{R},6.0,Flying  ward {2} Whenever another nontoken Dragon enters the battlefield under your control  create a token that's a copy of it  except the token isn't legendary.,6,6,1.71,clb
6684,Dread Wanderer,{B},1.0,This Card enters the battlefield tapped. {2}{B}: Return This Card from your graveyard to the battlefield. Activate only as a sorcery and only if you have one or fewer cards in hand.,2,1,0.74,akh
6685,Kodama of the Center Tree,{4}{G},5.0,This Card's power and toughness are each equal to the number of Spirits you control. This Card has soulshift X  where X is the number of Spirits you control. (When this creature dies  you may return target Spirit card with mana value X or less from your graveyard to your hand.),*,*,0.39,bok
6686,_____ Goblin,{2}{R},3.0,When this creature enters the battlefield  you may put a name sticker on it. Add {R} for each unique vowel on that sticker. (The vowels are A  E  I  O  U  and Y.),2,2,0.22,unf
6687,Efreet Weaponmaster,{3}{U}{R}{W},6.0,First strike When This Card enters the battlefield or is turned face up  another target creature you control gets +3/+0 until end of turn. Morph {2}{U}{R}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),4,3,0.03,ktk
6688,Magnivore,{2}{R}{R},4.0,Haste (This creature can attack and {T} as soon as it comes under your control.) This Card's power and toughness are each equal to the number of sorcery cards in all graveyards.,*,*,0.24,9ed
6689,Krosan Warchief,{2}{G},3.0,Beast spells you cast cost {1} less to cast. {1}{G}: Regenerate target Beast.,2,2,0.24,c13
6690,Skophos Warleader,{4}{R},5.0,{R}  Sacrifice another creature or an enchantment: This Card gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.),4,5,0.01,thb
6691,Kuldotha Phoenix,{2}{R}{R}{R},5.0,Flying  haste Metalcraft — {4}: Return This Card from your graveyard to the battlefield. Activate only during your upkeep and only if you control three or more artifacts.,4,4,0.24,som
6692,Inspiring Bard,{3}{G},4.0,When This Card enters the battlefield  choose one — • Bardic Inspiration — Target creature gets +2/+2 until end of turn. • Song of Rest — You gain 3 life.,3,3,0.01,afr
6693,Screeching Sliver,{U},1.0,"All Slivers have ""{T}: Target player mills a card.""",1,1,0.20,tsp
6694,Fungus Sliver,{3}{G},4.0,"All Sliver creatures have ""Whenever this creature is dealt damage  put a +1/+1 counter on it."" (It must survive the damage to get the counter.)",2,2,0.41,tsr
6695,Martyr's Soul,{2}{W},3.0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When This Card enters the battlefield  if you control no tapped lands  put two +1/+1 counters on it.,3,2,0.01,mh1
6696,Rhox Pikemaster,{2}{W}{W},4.0,First strike (This creature deals combat damage before creatures without first strike.) Other Soldier creatures you control have first strike.,3,3,0.12,m10
6697,Clandestine Chameleon,{3}{G},4.0,When This Card enters the battlefield  you get {TK}{TK}  then you may put a sticker on a nonland permanent you own. This Card has all abilities of ability stickers on other permanents you own and cards in your graveyard.,4,3,0.09,unf
6698,Brago's Representative,{2}{W},3.0,While voting  you get an additional vote. (The votes can be for different choices or for the same choice.),1,4,0.23,cns
6699,Skeleton Scavengers,{2}{B},3.0,This Card enters the battlefield with a +1/+1 counter on it. Pay {1} for each +1/+1 counter on This Card: Regenerate This Card. When it regenerates this way  put a +1/+1 counter on it.,0,0,0.32,sth
6700,Tangle Angler,{3}{G},4.0,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {G}: Target creature blocks This Card this turn if able.,1,5,0.24,som
6701,Dandân,{U}{U},2.0,This Card can't attack unless defending player controls an Island. When you control no Islands  sacrifice This Card.,4,1,2.14,tsb
6702,Progenitor Mimic,{4}{G}{U},6.0,"You may have This Card enter the battlefield as a copy of any creature on the battlefield  except it has ""At the beginning of your upkeep  if this creature isn't a token  create a token that's a copy of this creature.""",0,0,2.02,2xm
6703,Alpine Houndmaster,{R}{W},2.0,When This Card enters the battlefield  you may search your library for a card named Alpine Watchdog and/or a card named Igneous Cur  reveal them  put them into your hand  then shuffle. Whenever This Card attacks  it gets +X/+0 until end of turn  where X is the number of other attacking creatures.,2,2,0.13,m21
6704,Herald of Anafenza,{W},1.0,Outlast {2}{W} ({2}{W}  {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) Whenever you activate This Card's outlast ability  create a 1/1 white Warrior creature token.,1,2,0.15,ktk
6705,Affectionate Indrik,{5}{G},6.0,When This Card enters the battlefield  you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.),4,4,0.03,jmp
6706,Boneyard Lurker,{2}{B}{G},4.0,Mutate {2}{B/G}{B/G} (If you cast this spell for its mutate cost  put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Whenever this creature mutates  return target permanent card from your graveyard to your hand.,4,4,0.48,iko
6707,Zephid,{4}{U}{U},6.0,Flying Shroud (This creature can't be the target of spells or abilities.),3,4,2.14,usg
6708,Defiler of Faith,{3}{W}{W},5.0,Vigilance As an additional cost to cast white permanent spells  you may pay 2 life. Those spells cost {W} less to cast if you paid life this way. This effect reduces only the amount of white mana you pay. Whenever you cast a white permanent spell  create a 1/1 white Soldier creature token.,5,5,0.96,dmu
6709,Subjugator Angel,{4}{W}{W},6.0,Flying When This Card enters the battlefield  tap all creatures your opponents control.,4,3,0.82,gnt
6710,Cursed Minotaur,{2}{B},3.0,Menace (This creature can't be blocked except by two or more creatures.),3,2,0.03,akh
6711,Stalwart Pathlighter,{2}{W},3.0,Vigilance Coven — At the beginning of combat on your turn  if you control three or more creatures with different powers  creatures you control gain indestructible until end of turn.,3,1,0.17,mic
6712,Rot Shambler,{1}{G},2.0,Whenever another creature you control dies  put a +1/+1 counter on This Card.,1,1,0.11,bfz
6713,Raka Disciple,{R},1.0,{W}  {T}: Prevent the next 1 damage that would be dealt to any target this turn. {U}  {T}: Target creature gains flying until end of turn.,1,1,0.11,apc
6714,Vermiculos,{4}{B},5.0,Whenever an artifact enters the battlefield  This Card gets +4/+4 until end of turn.,1,1,0.27,mrd
6715,"Linvala, Keeper of Silence",{2}{W}{W},4.0,Flying Activated abilities of creatures your opponents control can't be activated.,3,4,12.89,jmp
6716,Thought Eater,{1}{U},2.0,Flying Your maximum hand size is reduced by three.,2,2,0.22,ody
6717,Darkheart Sliver,{B}{G},2.0,"All Slivers have ""Sacrifice this permanent: You gain 3 life.""",2,2,0.25,tsr
6718,Spin Engine,{3},3.0,{R}: Target creature can't block This Card this turn.,3,1,0.02,mbs
6719,Scoria Cat,{3}{R}{R},5.0,This Card gets +3/+3 as long as you control no untapped lands.,3,3,0.23,pcy
6720,Magma Hellion,{6}{R},7.0,Assist (Another player can pay up to {6} of this spell's cost.) Trample  haste,5,4,0.05,bbd
6721,Goblin Cohort,{R},1.0,This Card can't attack unless you've cast a creature spell this turn.,2,2,0.23,evg
6722,"Neera, Wild Mage",{4}{U}{R},6.0,Whenever you cast a spell  you may put it on the bottom of its owner's library. If you do  reveal cards from the top of your library until you reveal a nonland card. You may cast that card without paying its mana cost. Then put all revealed cards not cast this way on the bottom of your library in a random order. This ability triggers only once each turn.,2,7,0.15,clb
6723,Nim Devourer,{3}{B}{B},5.0,This Card gets +1/+0 for each artifact you control. {B}{B}: Return This Card from your graveyard to the battlefield  then sacrifice a creature. Activate only during your upkeep.,4,1,0.26,mrd
6724,Glittering Lynx,{W},1.0,"Prevent all damage that would be dealt to This Card. {2}: Until end of turn  This Card loses ""Prevent all damage that would be dealt to This Card."" Any player may activate this ability.",1,1,0.18,pcy
6725,Amphin Mutineer,{3}{U},4.0,When This Card enters the battlefield  exile up to one target non-Salamander creature. That creature's controller creates a 4/3 blue Salamander Warrior creature token. Encore {4}{U}{U} ({4}{U}{U}  Exile this card from your graveyard: For each opponent  create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.),3,3,0.67,cmr
6726,Reinforced Bulwark,{3},3.0,Defender {T}: Prevent the next 1 damage that would be dealt to you this turn.,0,4,0.08,roe
6727,Righteous Valkyrie,{2}{W},3.0,Flying Whenever another Angel or Cleric enters the battlefield under your control  you gain life equal to that creature's toughness. As long as you have at least 7 life more than your starting life total  creatures you control get +2/+2.,2,4,4.34,khm
6728,Sacellum Godspeaker,{2}{G},3.0,{T}: Reveal any number of creature cards with power 5 or greater from your hand. Add {G} for each card revealed this way.,2,2,0.30,ala
6729,"Olivia, Crimson Bride",{4}{B}{R},6.0,"Flying  haste Whenever This Card attacks  return target creature card from your graveyard to the battlefield tapped and attacking. It gains ""When you don't control a legendary Vampire  exile this creature.""",3,4,6.35,vow
6730,Snake,_,0.0,Deathtouch,1,1,0.94,tjou
6731,Rosheen Meanderer,{3}{R/G},4.0,{T}: Add {C}{C}{C}{C}. Spend this mana only on costs that contain {X}.,4,4,0.20,ima
6732,Monkey-,_,0.0,Whenever a nontoken creature you control dies  Augment {2}{G} ({2}{G}  Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.),+2,+2,0.17,ust
6733,Loxodon Peacekeeper,{1}{W},2.0,At the beginning of your upkeep  the player with the lowest life total gains control of This Card. If two or more players are tied for lowest life total  you choose one of them  and that player gains control of This Card.,4,4,0.22,mrd
6734,Convulsing Licid,{2}{R},3.0,{R}  {T}: This Card loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {R} to end this effect. Enchanted creature can't block.,2,2,0.16,sth
6735,Gargoyle Sentinel,{3},3.0,Defender (This creature can't attack.) {3}: Until end of turn  This Card loses defender and gains flying.,3,3,0.04,jmp
6736,Burnished Hart,{3},3.0,{3}  Sacrifice This Card: Search your library for up to two basic land cards  put them onto the battlefield tapped  then shuffle.,2,2,0.14,clb
6737,Vitaspore Thallid,{1}{G},2.0,At the beginning of your upkeep  put a spore counter on This Card. Remove three spore counters from This Card: Create a 1/1 green Saproling creature token. Sacrifice a Saproling: Target creature gains haste until end of turn.,1,1,0.29,plc
6738,Spark Reaper,{2}{B},3.0,{3}  Sacrifice a creature or planeswalker: You gain 1 life and draw a card.,2,3,0.04,mic
6739,Daggerdrome Imp,{1}{B},2.0,Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.),1,1,0.06,bbd
6740,"Tajic, Blade of the Legion",{2}{R}{W},4.0,Indestructible Battalion — Whenever This Card and at least two other creatures attack  Tajic gets +5/+5 until end of turn.,2,2,0.14,dmc
6741,Body Double,{4}{U},5.0,You may have This Card enter the battlefield as a copy of any creature card in a graveyard.,0,0,0.14,2x2
6742,Ambush Viper,{1}{G},2.0,Flash Deathtouch,2,1,0.05,cmr
6743,Carrion Thrash,{2}{B}{R}{G},5.0,When This Card dies  you may pay {2}. If you do  return another target creature card from your graveyard to your hand.,4,4,0.05,ala
6744,Joraga Warcaller,{G},1.0,Multikicker {1}{G} (You may pay an additional {1}{G} any number of times as you cast this spell.) This Card enters the battlefield with a +1/+1 counter on it for each time it was kicked. Other Elf creatures you control get +1/+1 for each +1/+1 counter on This Card.,1,1,5.45,cma
6745,Sonorous Howlbonder,{1}{B/R}{B/R},3.0,Menace Each creature you control with menace can't be blocked except by three or more creatures.,2,2,0.07,iko
6746,Myojin of Grim Betrayal,{5}{B}{B}{B},8.0,This Card enters the battlefield with an indestructible counter on it if you cast it from your hand. Remove an indestructible counter from This Card: Put onto the battlefield under your control all creature cards in all graveyards that were put there from anywhere this turn.,5,2,0.20,nec
6747,Grim Hireling,{3}{B},4.0,Whenever one or more creatures you control deal combat damage to a player  create two Treasure tokens. {B}  Sacrifice X Treasures: Target creature gets -X/-X until end of turn. Activate only as a sorcery.,3,2,2.47,clb
6748,Wood Elves,{2}{G},3.0,When This Card enters the battlefield  search your library for a Forest card  put that card onto the battlefield  then shuffle.,1,1,0.44,ncc
6749,Voldaren Ambusher,{2}{R},3.0,When This Card enters the battlefield  if an opponent lost life this turn  it deals X damage to up to one target creature or planeswalker  where X is the number of Vampires you control.,2,2,0.04,mid
6750,"Azor, the Lawbringer",{2}{W}{W}{U}{U},6.0,Flying When This Card enters the battlefield  each opponent can't cast instant or sorcery spells during that player's next turn. Whenever Azor attacks  you may pay {X}{W}{U}{U}. If you do  you gain X life and draw X cards.,6,6,1.43,rix
6751,Shocker,{1}{R},2.0,Whenever This Card deals damage to a player  that player discards all the cards in their hand  then draws that many cards.,1,1,1.17,tmp
6752,Grixis Battlemage,{2}{B},3.0,{U}  {T}: Draw a card  then discard a card. {R}  {T}: Target creature can't block this turn.,2,2,0.10,ala
6753,Mesa Cavalier,{2}{W},3.0,Flying When This Card enters the battlefield  you gain 2 life.,2,1,0.04,dmu
6754,Rhox Pummeler,{5}{G},6.0,This Card enters the battlefield with a shield counter on it. (If it would be dealt damage or destroyed  remove a shield counter from it instead.) This Card has trample as long as it has a shield counter on it.,6,3,0.01,snc
6755,Arctic Foxes,{1}{W},2.0,This Card can't be blocked by creatures with power 2 or greater as long as defending player controls a snow land.,1,1,0.16,ice
6756,Krosan Avenger,{2}{G},3.0,Trample Threshold — {1}{G}: Regenerate This Card. Activate only if seven or more cards are in your graveyard.,3,1,0.10,ody
6757,Treacherous Pit-Dweller,{B}{B},2.0,When This Card enters the battlefield from a graveyard  target opponent gains control of it. Undying (When this creature dies  if it had no +1/+1 counters on it  return it to the battlefield under its owner's control with a +1/+1 counter on it.),4,3,0.23,avr
6758,Flayed One,{2}{B},3.0,Lifelink Flesh Flayer — When This Card enters the battlefield  mill three cards.,4,1,0.19,40k
6759,"Niv-Mizzet, Dracogenius",{2}{U}{U}{R}{R},6.0,Flying Whenever This Card deals damage to a player  you may draw a card. {U}{R}: This Card deals 1 damage to any target.,5,5,0.73,c17
6760,Flowstone Overseer,{2}{R}{R}{R},5.0,{R}{R}: Target creature gets +1/-1 until end of turn.,4,4,0.25,nem
6761,Screeching Buzzard,{3}{B},4.0,Flying When This Card dies  each opponent discards a card.,2,2,0.02,bbd
6762,"Zahid, Djinn of the Lamp",{4}{U}{U},6.0,You may pay {3}{U} and tap an untapped artifact you control rather than pay this spell's mana cost. Flying,5,6,0.26,gnt
6763,"Drana, Liberator of Malakir",{1}{B}{B},3.0,Flying  first strike Whenever This Card deals combat damage to a player  put a +1/+1 counter on each attacking creature you control.,2,3,0.42,dmc
6764,Herd Gnarr,{3}{G},4.0,Whenever another creature enters the battlefield under your control  This Card gets +2/+2 until end of turn.,2,2,0.14,tsp
6765,Plated Sliver,{W},1.0,All Sliver creatures get +0/+1.,1,1,0.37,lgn
6766,"Siona, Captain of the Pyleas",{1}{G}{W},3.0,When This Card enters the battlefield  look at the top seven cards of your library. You may reveal an Aura card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. Whenever an Aura you control becomes attached to a creature you control  create a 1/1 white Human Soldier creature token.,2,2,0.23,thb
6767,Moon-Blessed Cleric,{2}{W},3.0,Divine Intervention — When This Card enters the battlefield  you may search your library for an enchantment card  reveal it  then shuffle and put that card on top.,3,2,0.72,afr
6768,Zombie Musher,{3}{B},4.0,Snow landwalk (This creature can't be blocked as long as defending player controls a snow land.) {S}: Regenerate This Card. ({S} can be paid with one mana from a snow source.),2,3,0.14,csp
6769,Tilling Treefolk,{2}{G},3.0,When This Card enters the battlefield  you may return up to two target land cards from your graveyard to your hand.,1,3,0.25,eve
6770,Needleshot Gourna,{4}{G}{G},6.0,Reach (This creature can block creatures with flying.),3,6,0.10,lgn
6771,Devout Monk,{W},1.0,When This Card enters the battlefield  you gain 1 life.,1,1,0.17,s99
6772,Trufflesnout,{2}{G},3.0,When This Card enters the battlefield  choose one — • Put a +1/+1 counter on This Card. • You gain 4 life.,2,2,0.02,m21
6773,Shoal Serpent,{5}{U},6.0,Defender Landfall — Whenever a land enters the battlefield under your control  This Card loses defender until end of turn.,5,5,0.08,zen
6774,"Gerrard, Weatherlight Hero",{2}{R}{W},4.0,First strike When This Card dies  exile it and return to the battlefield all artifact and creature cards in your graveyard that were put there from the battlefield this turn.,3,3,0.47,c19
6775,Marble Gargoyle,{2}{W},3.0,Flying {W}: This Card gets +0/+1 until end of turn.,2,2,0.02,mh2
6776,Akroan Sergeant,{2}{R},3.0,First strike (This creature deals combat damage before creatures without first strike.) Renown 1 (When this creature deals combat damage to a player  if it isn't renowned  put a +1/+1 counter on it and it becomes renowned.),2,2,0.03,ori
6777,Loathsome Curator,{4}{B},5.0,Exploit (When this creature enters the battlefield  you may sacrifice a creature.) Menace When This Card exploits a creature  destroy target creature you don't control with mana value 3 or less.,5,4,0.01,mh2
6778,Tolarian Scholar,{2}{U},3.0,_,2,3,0.03,m19
6779,Crackling Triton,{2}{U},3.0,{2}{R}  Sacrifice This Card: It deals 2 damage to any target.,2,3,0.02,ths
6780,Hans Eriksson,{2}{R}{G},4.0,Whenever This Card attacks  reveal the top card of your library. If it's a creature card  put it onto the battlefield tapped and attacking defending player or a planeswalker they control. Otherwise  put that card into your hand. When you put a creature card onto the battlefield this way  it fights This Card.,1,4,0.10,cmr
6781,Coral Fighters,{1}{U},2.0,Whenever This Card attacks and isn't blocked  look at the top card of defending player's library. You may put that card on the bottom of that player's library.,1,1,0.19,ddi
6782,Quandrix Pledgemage,{1}{G/U}{G/U},3.0,Magecraft — Whenever you cast or copy an instant or sorcery spell  put a +1/+1 counter on This Card.,2,2,0.05,stx
6783,Onyx Mage,{1}{B},2.0,{1}{B}: Target creature you control gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.),2,1,0.14,m12
6784,Teferi's Honor Guard,{2}{W},3.0,Flanking (Whenever a creature without flanking blocks this creature  the blocking creature gets -1/-1 until end of turn.) {U}{U}: This Card phases out. (While it's phased out  it's treated as though it doesn't exist. It phases in before you untap during your next untap step.),2,2,0.17,vis
6785,Ainok Bond-Kin,{1}{W},2.0,Outlast {1}{W} ({1}{W}  {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) Each creature you control with a +1/+1 counter on it has first strike.,2,1,0.02,2x2
6786,Dark Apostle,{3}{R},4.0,Gift of Chaos — {3}  {T}: The next noncreature spell you cast this turn has cascade. (When you cast that spell  exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.),3,3,0.22,40k
6787,Rootwater Shaman,{2}{U},3.0,You may cast Aura spells with enchant creature as though they had flash.,2,2,0.64,tmp
6788,Sengir Connoisseur,{3}{B}{B},5.0,Flying Whenever one or more other creatures die  put a +1/+1 counter on This Card. This ability triggers only once each turn.,3,3,0.02,dmu
6789,Wetland Sambar,{1}{U},2.0,_,2,1,0.03,ktk
6790,Gibbering Kami,{3}{B},4.0,Flying Soulshift 3 (When this creature dies  you may return target Spirit card with mana value 3 or less from your graveyard to your hand.),2,2,0.10,chk
6791,"Nekusar, the Mindrazer",{2}{U}{B}{R},5.0,At the beginning of each player's draw step  that player draws an additional card. Whenever an opponent draws a card  This Card deals 1 damage to that player.,2,4,5.13,c13
6792,Arcanis the Omnipotent,{3}{U}{U}{U},6.0,{T}: Draw three cards. {2}{U}{U}: Return This Card to its owner's hand.,3,4,1.17,c17
6793,Freelance Muscle,{4}{G},5.0,Whenever This Card attacks or blocks  it gets +X/+X until end of turn  where X is the greatest power and/or toughness among other creatures you control.,4,4,0.02,snc
6794,Containment Priest,{1}{W},2.0,Flash If a nontoken creature would enter the battlefield and it wasn't cast  exile it instead.,2,2,0.28,m21
