,name,mana_cost,cmc,oracle_text,prices,set
5223,Smallpox,{B}{B},2.0,Each player loses 1 life  discards a card  sacrifices a creature  then sacrifices a land.,0.23,tsr
5224,Jund Charm,{B}{R}{G},3.0,Choose one — • Exile target player's graveyard. • This Card deals 2 damage to each creature. • Put two +1/+1 counters on target creature.,0.27,c13
5225,Mouth of Ronom,_,0.0,{T}: Add {C}. {4}{S}  {T}  Sacrifice This Card: It deals 4 damage to target creature. ({S} can be paid with one mana from a snow source.),2.52,csp
5226,"Ajani, Adversary of Tyrants Emblem",_,0.0,At the beginning of your end step  create three 1/1 white Cat creature tokens with lifelink.,0.24,tm19
5227,Edifice of Authority,{3},3.0,{1}  {T}: Target creature can't attack this turn. Put a brick counter on This Card. {1}  {T}: Until your next turn  target creature can't attack or block and its activated abilities can't be activated. Activate only if there are three or more brick counters on This Card.,0.07,akh
5228,Isolation Zone,{2}{W}{W},4.0,When This Card enters the battlefield  exile target creature or enchantment an opponent controls until This Card leaves the battlefield. (That permanent returns under its owner's control.),0.02,ogw
5229,Historian's Wisdom,{2}{G},3.0,Enchant artifact or creature When This Card enters the battlefield  if enchanted permanent is a creature with the greatest power among creatures on the battlefield  draw a card. As long as enchanted permanent is a creature  it gets +2/+1.,0.02,neo
5230,Rofellos's Gift,{G},1.0,Reveal any number of green cards in your hand. Return an enchantment card from your graveyard to your hand for each card revealed this way.,0.19,uds
5231,Gratuitous Violence,{2}{R}{R}{R},5.0,If a creature you control would deal damage to a permanent or player  it deals double that damage to that permanent or player instead.,1.86,afc
5232,Song of the Dryads,{2}{G},3.0,Enchant permanent Enchanted permanent is a colorless Forest land.,11.61,cma
5233,Heirloom Blade,{3},3.0,Equipped creature gets +3/+1. Whenever equipped creature dies  you may reveal cards from the top of your library until you reveal a creature card that shares a creature type with it. Put that card into your hand and the rest on the bottom of your library in a random order. Equip {1},0.18,afc
5234,Sheer Drop,{2}{W},3.0,Destroy target tapped creature. Awaken 3—{5}{W} (If you cast this spell for {5}{W}  also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.),0.06,bfz
5235,Gaea's Cradle,_,0.0,{T}: Add {G} for each creature you control.,1042.41,usg
5236,Temple of Malice,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  scry 1. {T}: Add {B} or {R}.,0.47,dmc
5237,Infinite Hourglass,{4},4.0,At the beginning of your upkeep  put a time counter on This Card. All creatures get +1/+0 for each time counter on This Card. {3}: Remove a time counter from This Card. Any player may activate this ability but only during any upkeep step.,0.25,5ed
5238,Tavern Brawler,{2}{R},3.0,"Commander creatures you own have ""At the beginning of your upkeep  exile the top card of your library. This creature gets +X/+0 until end of turn  where X is that card's mana value. You may play that card this turn.""",0.06,clb
5239,Volcanic Strength,{1}{R},2.0,Enchant creature Enchanted creature gets +2/+2 and has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.),0.05,m13
5240,Haunted Fengraf,_,0.0,{T}: Add {C}. {3}  {T}  Sacrifice This Card: Return a creature card at random from your graveyard to your hand.,0.19,c18
5241,Mana Bloom,{X}{G},1.0,This Card enters the battlefield with X charge counters on it. Remove a charge counter from This Card: Add one mana of any color. Activate only once each turn. At the beginning of your upkeep  if This Card has no charge counters on it  return it to its owner's hand.,0.47,rtr
5242,Kaervek's Hex,{3}{B},4.0,This Card deals 1 damage to each nonblack creature and an additional 1 damage to each green creature.,0.20,mir
5243,Undergrowth Stadium,_,0.0,This Card enters the battlefield tapped unless you have two or more opponents. {T}: Add {B} or {G}.,6.90,cmr
5244,No Escape,{2}{U},3.0,Counter target creature or planeswalker spell. If that spell is countered this way  exile it instead of putting it into its owner's graveyard. Scry 1.,0.04,war
5245,Sphere of the Suns,{2},2.0,This Card enters the battlefield tapped and with three charge counters on it. {T}  Remove a charge counter from This Card: Add one mana of any color.,0.18,mm2
5246,Molten Frame,{1}{R},2.0,Destroy target artifact creature. Cycling {2} ({2}  Discard this card: Draw a card.),0.07,con
5247,Dictate of Erebos,{3}{B}{B},5.0,Flash Whenever a creature you control dies  each opponent sacrifices a creature.,11.99,jou
5248,Aetherize,{3}{U},4.0,Return all attacking creatures to their owner's hand.,1.12,znc
5249,Loot Dispute,{3}{R},4.0,When This Card enters the battlefield  you take the initiative and create a Treasure token. Whenever you attack the player who has the initiative  create a Treasure token. Loud Ruckus — Whenever you complete a dungeon  create a 5/5 red Dragon creature token with flying.,0.20,clb
5250,Liliana's Defeat,{B},1.0,Destroy target black creature or black planeswalker. If that permanent was a Liliana planeswalker  her controller loses 3 life.,0.05,hou
5251,Fade from Memory,{B},1.0,Exile target card from a graveyard. Cycling {B} ({B}  Discard this card: Draw a card.),0.13,ons
5252,Mirror Gallery,{5},5.0,"The ""legend rule"" doesn't apply.",9.85,bok
5253,Ritual of Rejuvenation,{2}{W},3.0,You gain 4 life. Draw a card.,0.06,xln
5254,"Jace, Mirror Mage",{1}{U}{U},3.0,Kicker {2} When This Card enters the battlefield  if Jace was kicked  create a token that's a copy of This Card  except it's not legendary and its starting loyalty is 1. +1: Scry 2. 0: Draw a card and reveal it. Remove a number of loyalty counters equal to that card's mana value from This Card.,0.69,znr
5255,Wild Onslaught,{3}{G},4.0,Kicker {4} (You may pay an additional {4} as you cast this spell.) Put a +1/+1 counter on each creature you control. If this spell was kicked  put two +1/+1 counters on each creature you control instead.,0.08,dom
5256,Griffin Aerie,{1}{W},2.0,At the beginning of your end step  if you gained 3 or more life this turn  create a 2/2 white Griffin creature token with flying.,0.14,m21
5257,Goblin Coward Parade,_,0.0,{TK}{TK} — Mentor (Whenever this creature attacks  put a +1/+1 counter on target attacking creature with lesser power.) {TK}{TK}{TK} — When this permanent leaves the battlefield you may destroy target creature with power 4 or greater. {TK}{TK} — 2/3 {TK}{TK}{TK}{TK} — 8/4,0.22,sunf
5258,Upheaval,{4}{U}{U},6.0,Return all permanents to their owners' hands.,0.08,mh2
5259,Arni Slays the Troll,{R}{G},2.0,(As this Saga enters and after your draw step  add a lore counter. Sacrifice after III.) I — Target creature you control fights up to one target creature you don't control. II — Add {R}. Put two +1/+1 counters on up to one target creature you control. III — You gain life equal to the greatest power among creatures you control.,0.07,khm
5260,Mosswort Bridge,_,0.0,Hideaway 4 (When this land enters the battlefield  look at the top four cards of your library  exile one face down  then put the rest on the bottom in a random order.) This Card enters the battlefield tapped. {T}: Add {G}. {G}  {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.,0.24,clb
5261,Deft Dismissal,{3}{W},4.0,This Card deals 3 damage divided as you choose among one  two  or three target attacking or blocking creatures.,0.05,aer
5262,Stomp and Howl,{2}{G},3.0,Destroy target artifact and target enchantment.,0.12,dis
5263,Witherbloom Command,{B}{G},2.0,Choose two — • Target player mills three cards  then you return a land card from your graveyard to your hand. • Destroy target noncreature  nonland permanent with mana value 2 or less. • Target creature gets -3/-1 until end of turn. • Target opponent loses 2 life and you gain 2 life.,3.07,stx
5264,Bewilder,{2}{U},3.0,Target creature gets -3/-0 until end of turn. Draw a card.,0.01,tsr
5265,Protect the Negotiators,{1}{U},2.0,Kicker {W} (You may pay an additional {W} as you cast this spell.) If this spell was kicked  create a 1/1 white Soldier creature token. Counter target spell unless its controller pays {1} for each creature you control.,0.06,dmu
5266,Hedron Alignment,{2}{U},3.0,Hexproof At the beginning of your upkeep  you may reveal your hand. If you do  you win the game if you own a card named This Card in exile  in your hand  in your graveyard  and on the battlefield. {1}{U}: Scry 1.,0.17,ogw
5267,Time to Reflect,{W},1.0,Exile target creature that blocked or was blocked by a Zombie this turn.,0.10,akh
5268,Rolling Stones,{1}{W},2.0,Wall creatures can attack as though they didn't have defender.,1.38,8ed
5269,By Force,{X}{R},1.0,Destroy X target artifacts.,0.70,akh
5270,Dueling Rapier,{R},1.0,Flash When This Card enters the battlefield  attach it to target creature you control. Equipped creature gets +2/+0. Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.),0.05,afr
5271,Gust of Wind,{3}{U},4.0,This spell costs {2} less to cast if you control a creature with flying. Return target nonland permanent you don't control to its owner's hand. Draw a card.,0.03,iko
5272,Ritual of Restoration,{W},1.0,Return target artifact card from your graveyard to your hand.,0.14,dst
5273,Umezawa's Charm,{1}{B},2.0,Choose one — • Target creature gets +2/+2 until end of turn. • Target creature gets -1/-1 until end of turn. • You gain 2 life.,0.02,mh1
5274,Porphyry Nodes,{W},1.0,At the beginning of your upkeep  destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power  you choose one of them. When there are no creatures on the battlefield  sacrifice This Card.,0.19,tsr
5275,Cancel,{1}{U}{U},3.0,Counter target spell.,0.04,m21
5276,Snare the Skies,{G},1.0,Target creature gets +1/+1 and gains reach until end of turn. (It can block creatures with flying.),0.01,avr
5277,Kamahl's Druidic Vow,{X}{G}{G},2.0,(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.) Look at the top X cards of your library. You may put any number of land and/or legendary permanent cards with mana value X or less from among them onto the battlefield. Put the rest into your graveyard.,0.96,dom
5278,Samut's Sprint,{R},1.0,Target creature gets +2/+1 and gains haste until end of turn. Scry 1.,0.08,war
5279,Looming Spires,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  target creature gets +1/+1 and gains first strike until end of turn. {T}: Add {R}.,0.07,bfz
5280,Eyes Everywhere,{2}{U},3.0,At the beginning of your upkeep  scry 1. {5}{U}: Exchange control of This Card and target nonland permanent. Activate only as a sorcery.,0.07,rna
5281,Secret Plans,{G}{U},2.0,Face-down creatures you control get +0/+1. Whenever a permanent you control is turned face up  draw a card.,0.01,c19
5282,You're Confronted by Robbers,{3}{W},4.0,Choose one — • Stall for Time — Tap up to three target creatures. • Call for Aid — Create three 1/1 white Soldier creature tokens.,0.05,clb
5283,Skull Raid,{3}{B},4.0,Target opponent discards two cards. If fewer than two cards were discarded this way  you draw cards equal to the difference. Foretell {1}{B} (During your turn  you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.),0.01,khm
5284,Cave Sense,{1}{R},2.0,Enchant creature Enchanted creature gets +1/+1 and has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.),0.08,mmq
5285,Whims of the Fates,{5}{R},6.0,Starting with you  each player separates all permanents they control into three piles. Then each player chooses one of their piles at random and sacrifices those permanents. (Piles can be empty.),0.18,c16
5286,Aspect of Lamprey,{3}{B},4.0,Enchant creature you control When This Card enters the battlefield  target opponent discards two cards. Enchanted creature has lifelink.,0.03,thb
5287,Crab Umbra,{U},1.0,Enchant creature {2}{U}: Untap enchanted creature. Totem armor (If enchanted creature would be destroyed  instead remove all damage from it and destroy this Aura.),0.28,roe
5288,Forge Armor,{4}{R},5.0,As an additional cost to cast this spell  sacrifice an artifact. Put X +1/+1 counters on target creature  where X is the sacrificed artifact's mana value.,0.12,mrd
5289,Metallurgic Summonings,{3}{U}{U},5.0,Whenever you cast an instant or sorcery spell  create an X/X colorless Construct artifact creature token  where X is that spell's mana value. {3}{U}{U}  Exile This Card: Return all instant and sorcery cards from your graveyard to your hand. Activate only if you control six or more artifacts.,2.09,c21
5290,Controlled Instincts,{U},1.0,Enchant red or green creature Enchanted creature doesn't untap during its controller's untap step.,0.08,con
5291,"Oathkeeper, Takeno's Daisho",{3},3.0,Equipped creature gets +3/+1. Whenever equipped creature dies  return that card to the battlefield under your control if it's a Samurai card. When This Card is put into a graveyard from the battlefield  exile equipped creature. Equip {2},11.54,chk
5292,Rain of Revelation,{3}{U},4.0,Draw three cards  then discard a card.,0.04,m21
5293,Sphinx's Decree,{1}{W},2.0,Each opponent can't cast instant or sorcery spells during that player's next turn.,0.09,rix
5294,Kaervek's Spite,{B}{B}{B},3.0,As an additional cost to cast this spell  sacrifice all permanents you control and discard your hand. Target player loses 5 life.,2.47,vis
5295,The Weatherseed Treaty,{2}{G},3.0,Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.) I — Search your library for a basic land card  put it onto the battlefield tapped  then shuffle. II — Create a 1/1 green Saproling creature token. III — Domain — Target creature you control gets +X/+X and gains trample until end of turn  where X is the number of basic land types among lands you control.,0.06,dmu
5296,Arcane Sanctum,_,0.0,This Card enters the battlefield tapped. {T}: Add {W}  {U}  or {B}.,0.38,dmc
5297,Vassal's Duty,{3}{W},4.0,{1}: The next 1 damage that would be dealt to target legendary creature you control this turn is dealt to you instead.,0.24,chk
5298,The Fate of the Flammable,_,0.0,When you set this scheme in motion  target opponent chooses self or others. If that player chooses self  this scheme deals 6 damage to that player. If the player chooses others  this scheme deals 3 damage to each of your other opponents.,16.02,oarc
5299,Dimir Signet,{2},2.0,{1}  {T}: Add {U}{B}.,1.07,clb
5300,Shimmering Wings,{U},1.0,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has flying. (It can't be blocked except by creatures with flying or reach.) {U}: Return This Card to its owner's hand.,0.14,10e
5301,Cave-In,{3}{R}{R},5.0,You may exile a red card from your hand rather than pay this spell's mana cost. This Card deals 2 damage to each creature and each player.,0.84,mmq
5302,Stream of Unconsciousness,{U},1.0,Target creature gets -4/-0 until end of turn. If you control a Wizard  draw a card.,0.23,mor
5303,Stronghold Arena,{1}{B},2.0,Kicker {G} and/or {W} (You may pay an additional {G} and/or {W} as you cast this spell.) When This Card enters the battlefield  you gain 3 life for each time it was kicked. Whenever one or more creatures you control deal combat damage to a player  you may reveal the top card of your library and put it into your hand. If you do  you lose life equal to its mana value.,0.19,dmu
5304,Chittering Doom,{3}{G},4.0,Whenever you roll a 4 or higher on a die  create a 1/1 green Squirrel creature token.,0.26,ust
5305,Xenagos's Strike,_,0.0,This Card deals 4 damage to each player.,0.98,tdag
5306,"Kaya, Orzhov Usurper",{1}{W}{B},3.0,+1: Exile up to two target cards from a single graveyard. You gain 2 life if at least one creature card was exiled this way. −1: Exile target nonland permanent with mana value 1 or less. −5: This Card deals damage to target player equal to the number of cards that player owns in exile and you gain that much life.,1.93,rna
5307,Born to Drive,{2}{W},3.0,"Enchant artifact or creature As long as enchanted permanent is a creature  it gets +1/+1 for each creature and/or Vehicle you control. Channel — {2}{W}  Discard This Card: Create two 1/1 colorless Pilot creature tokens with ""This creature crews Vehicles as though its power were 2 greater.""",0.10,neo
5308,Foil,{2}{U}{U},4.0,You may discard an Island card and another card rather than pay this spell's mana cost. Counter target spell.,0.47,uma
5309,Metallic Mastery,{2}{R},3.0,Gain control of target artifact until end of turn. Untap that artifact. It gains haste until end of turn.,0.06,mbs
5310,Dizzy Spell,{U},1.0,Target creature gets -3/-0 until end of turn. Transmute {1}{U}{U} ({1}{U}{U}  Discard this card: Search your library for a card with the same mana value as this card  reveal it  put it into your hand  then shuffle. Transmute only as a sorcery.),0.27,rav
5311,Martyr's Bond,{4}{W}{W},6.0,Whenever This Card or another nonland permanent you control is put into a graveyard from the battlefield  each opponent sacrifices a permanent that shares a card type with it.,0.61,cmd
5312,Hunter's Mark,{3}{G},4.0,This spell costs {3} less to cast if it targets a blue permanent you don't control. This spell can't be countered. Target creature you control gets +1/+1 until end of turn. Then it deals damage equal to its power to target creature or planeswalker you don't control.,0.05,afr
5313,Dryad's Caress,{4}{G}{G},6.0,You gain 1 life for each creature on the battlefield. If {W} was spent to cast this spell  untap all creatures you control.,0.15,rav
5314,Elvish Promenade,{3}{G},4.0,Create a 1/1 green Elf Warrior creature token for each Elf you control.,0.61,khc
5315,Sentinel Dispatch,_,0.0,(Start the game with this conspiracy face up in the command zone.) At the beginning of the first upkeep  create a 1/1 colorless Construct artifact creature token with defender.,0.11,cns
5316,Lens of Clarity,{1},1.0,You may look at the top card of your library and at face-down creatures you don't control any time.,0.06,ktk
5317,Legion's End,{1}{B},2.0,Exile target creature an opponent controls with mana value 2 or less and all other creatures that player controls with the same name as that creature. Then that player reveals their hand and exiles all cards with that name from their hand and graveyard.,0.25,m20
5318,Tenacity,{3}{W},4.0,Creatures you control get +1/+1 and gain lifelink until end of turn. Untap those creatures.,0.05,soi
5319,Carnival Elephant Meteor,_,0.0,{TK}{TK} — Sacrifice this permanent: Draw two cards. {TK}{TK}{TK} — Whenever this creature attacks  proliferate. (Choose any number of permanents and/or players  then give each another counter of each kind already there.) {TK}{TK} — 4/1 {TK}{TK}{TK}{TK}{TK} — 8/7,0.30,sunf
5320,Dangerous Wager,{1}{R},2.0,Discard your hand  then draw two cards.,0.21,avr
5321,Holistic Wisdom,{1}{G}{G},3.0,{2}  Exile a card from your hand: Return target card from your graveyard to your hand if it shares a card type with the card exiled this way. (Artifact  creature  enchantment  instant  land  planeswalker  sorcery  and tribal are card types.),7.41,ody
5322,Fiery Cannonade,{2}{R},3.0,This Card deals 2 damage to each non-Pirate creature.,0.11,cmr
5323,Luminescent Rain,{2}{G},3.0,Choose a creature type. You gain 2 life for each permanent you control of that type.,0.20,mor
5324,Charge Through,{G},1.0,Target creature gains trample until end of turn. Draw a card.,0.11,stx
5325,Temple of Mystery,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  scry 1. {T}: Add {G} or {U}.,0.44,ncc
5326,Racers' Ring,_,0.0,This Card enters the battlefield tapped. {T}: Add {R} or {G}. {2}{R}{G}  {T}  Sacrifice This Card: Draw a card.,0.08,snc
5327,Fall of the Hammer,{1}{R},2.0,Target creature you control deals damage equal to its power to another target creature.,0.25,cm2
5328,Pierce the Sky,{1}{G},2.0,This Card deals 7 damage to target creature with flying.,0.02,dom
5329,Bearscape,{1}{G}{G},3.0,{1}{G}  Exile two cards from your graveyard: Create a 2/2 green Bear creature token.,5.28,ody
5330,Supplant Form,{4}{U}{U},6.0,Return target creature to its owner's hand. You create a token that's a copy of that creature.,0.29,frf
5331,Lashknife Barrier,{2}{W},3.0,When This Card enters the battlefield  draw a card. If a source would deal damage to a creature you control  it deals that much damage minus 1 to that creature instead.,0.17,pls
5332,Isolated Chapel,_,0.0,This Card enters the battlefield tapped unless you control a Plains or a Swamp. {T}: Add {W} or {B}.,4.58,dom
5333,Resounding Wave,{2}{U},3.0,Return target permanent to its owner's hand. Cycling {5}{W}{U}{B} ({5}{W}{U}{B}  Discard this card: Draw a card.) When you cycle This Card  return two target permanents to their owners' hands.,0.06,ala
5334,Selvala's Charge,{4}{G},5.0,Parley — Each player reveals the top card of their library. For each nonland card revealed this way  you create a 3/3 green Elephant creature token. Then each player draws a card.,0.14,cns
5335,Chatterstorm,{1}{G},2.0,Create a 1/1 green Squirrel creature token. Storm (When you cast this spell  copy it for each spell cast before it this turn.),0.11,mh2
5336,Hold the Gates,{2}{W},3.0,Creatures you control get +0/+1 for each Gate you control and have vigilance.,0.17,gtc
5337,Relic Putrescence,{2}{B},3.0,Enchant artifact Whenever enchanted artifact becomes tapped  its controller gets a poison counter.,0.13,som
5338,Curse of Unbinding,{6}{U},7.0,Enchant player At the beginning of enchanted player's upkeep  that player reveals cards from the top of their library until they reveal a creature card. Put that card onto the battlefield under your control. That player puts the rest of the revealed cards into their graveyard.,0.81,mic
5339,Throne of Makindi,_,0.0,{T}: Add {C}. {1}  {T}: Put a charge counter on This Card. {T}  Remove a charge counter from This Card: Add two mana of any one color. Spend this mana only to cast kicked spells.,0.07,znr
5340,Relic Vial,{3},3.0,"{2}  {T}  Sacrifice a creature: Draw a card. As long as you control a Cleric  This Card has ""Whenever a creature you control dies  each opponent loses 1 life and you gain 1 life.""",0.10,znr
5341,Involuntary Employment,{3}{R},4.0,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Create a Treasure token. (It's an artifact with ""{T}  Sacrifice this artifact: Add one mana of any color."")",0.07,snc
5342,Command Beacon,_,0.0,{T}: Add {C}. {T}  Sacrifice This Card: Put your commander into your hand from the command zone.,6.83,cmr
5343,Manaforce Mace,{4},4.0,Domain — Equipped creature gets +1/+1 for each basic land type among lands you control. Equip {3},0.12,con
5344,Rogues' Gallery,{2}{B},3.0,For each color  return up to one target creature card of that color from your graveyard to your hand.,0.05,snc
5345,Rupture Spire,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  sacrifice it unless you pay {1}. {T}: Add one mana of any color.,0.02,cmr
5346,Reduce in Stature,{2}{U},3.0,Enchant creature Enchanted creature has base power and toughness 0/2.,0.03,dtk
5347,Imps' Taunt,{1}{B},2.0,Buyback {3} (You may pay an additional {3} as you cast this spell. If you do  put this card into your hand as it resolves.) Target creature attacks this turn if able.,0.12,tmp
5348,Remember the Fallen,{2}{W},3.0,Choose one or both — • Return target creature card from your graveyard to your hand. • Return target artifact card from your graveyard to your hand.,0.10,2xm
5349,Holy Mantle,{2}{W}{W},4.0,Enchant creature Enchanted creature gets +2/+2 and has protection from creatures.,0.28,gtc
5350,"Eiganjo, Seat of the Empire",_,0.0,{T}: Add {W}. Channel — {2}{W}  Discard This Card: It deals 4 damage to target attacking or blocking creature. This ability costs {1} less to activate for each legendary creature you control.,4.42,neo
5351,Darigaaz's Charm,{B}{R}{G},3.0,Choose one — • Return target creature card from your graveyard to your hand. • This Card deals 3 damage to any target. • Target creature gets +3/+3 until end of turn.,0.23,dde
5352,Izzet Locket,{3},3.0,{T}: Add {U} or {R}. {U/R}{U/R}{U/R}{U/R}  {T}  Sacrifice This Card: Draw two cards.,0.15,c19
5353,Bone Sabres,{2}{G},3.0,Whenever equipped creature attacks  put four +1/+1 counters on it. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.),2.58,40k
5354,Harmonize,{2}{G}{G},4.0,Draw three cards.,0.39,ncc
5355,Birth of the Imperium,{2}{W}{U}{B},5.0,(As this Saga enters and after your draw step  add a lore counter. Sacrifice after III.) I — Create a 2/2 white Astartes Warrior creature token with vigilance for each opponent you have. II — Each opponent sacrifices a creature. III — Draw two cards for each opponent who controls fewer creatures than you.,0.31,40k
5356,Traitorous Blood,{1}{R}{R},3.0,Gain control of target creature until end of turn. Untap it. It gains trample and haste until end of turn.,0.18,isd
5357,Psionic Blast,{2}{U},3.0,This Card deals 4 damage to any target and 2 damage to you.,5.56,tsb
5358,Rise to the Challenge,{1}{R},2.0,Target creature gets +2/+0 and gains first strike until end of turn.,0.03,bng
5359,Prototype Portal,{4},4.0,Imprint — When This Card enters the battlefield  you may exile an artifact card from your hand. {X}  {T}: Create a token that's a copy of the exiled card. X is the mana value of that card.,0.63,c18
5360,Nature's Chosen,{G},1.0,Enchant creature you control {0}: Untap enchanted creature. Activate only during your turn and only once each turn. Tap enchanted creature: Untap target artifact  creature  or land. Activate only if enchanted creature is white and untapped and only once each turn.,1.10,all
5361,Pursuit of Knowledge,{3}{W},4.0,If you would draw a card  you may put a study counter on This Card instead. Remove three study counters from This Card  Sacrifice This Card: Draw seven cards.,0.96,sth
5362,Whirlpool Whelm,{1}{U},2.0,Clash with an opponent  then return target creature to its owner's hand. If you win  you may put that creature on top of its owner's library instead. (Each clashing player reveals the top card of their library  then puts that card on the top or bottom. A player wins if their card had a higher mana value.),0.05,cmd
5363,Fate Forgotten,{2}{W},3.0,Exile target artifact or enchantment.,0.09,dtk
5364,Family's Favor,{2}{G},3.0,"Whenever you attack  put a shield counter on target attacking creature. Until end of turn  it gains ""Whenever this creature deals combat damage to a player  remove a shield counter from it. If you do  draw a card."" (If a creature with a shield counter on it would be dealt damage or destroyed  remove a shield counter from it instead.)",0.59,ncc
5365,Estrid's Invocation,{2}{U},3.0,"You may have This Card enter the battlefield as a copy of an enchantment you control  except it has ""At the beginning of your upkeep  you may exile this enchantment. If you do  return it to the battlefield under its owner's control.""",9.08,c18
5366,Risk Factor,{2}{R},3.0,Target opponent may have This Card deal 4 damage to them. If that player doesn't  you draw three cards. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.),1.21,grn
5367,Quest for the Nihil Stone,{B},1.0,Whenever an opponent discards a card  you may put a quest counter on This Card. At the beginning of each opponent's upkeep  if that player has no cards in hand and This Card has two or more quest counters on it  you may have that player lose 5 life.,2.61,wwk
5368,Collective Blessing,{3}{G}{G}{W},6.0,Creatures you control get +3/+3.,0.67,rtr
5369,Airborne Aid,{3}{U},4.0,Draw a card for each Bird on the battlefield.,0.14,ons
5370,"Jace, the Mind Sculptor",{2}{U}{U},4.0,+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library. 0: Draw three cards  then put two cards from your hand on top of your library in any order. −1: Return target creature to its owner's hand. −12: Exile all cards from target player's library  then that player shuffles their hand into their library.,37.47,2xm
5371,Flowstone Flood,{3}{R},4.0,Buyback—Pay 3 life  Discard a card at random. (You may pay 3 life and discard a card at random in addition to any other costs as you cast this spell. If you do  put this card into your hand as it resolves.) Destroy target land.,0.18,exo
5372,Insurrection,{5}{R}{R}{R},8.0,Untap all creatures and gain control of them until end of turn. They gain haste until end of turn.,12.65,cmd
5373,Auto-Key,_,0.0,"Whenever you crank This Card  until end of turn  target creature becomes an artifact in addition to its other types and gains ""{T}: You gain 3 life.""",0.10,ust
5374,Fight to the Death,{R}{W},2.0,Destroy all blocking creatures and all blocked creatures.,2.22,arb
5375,Mirri's Guile,{G},1.0,At the beginning of your upkeep  you may look at the top three cards of your library  then put them back in any order.,33.77,tmp
5376,Lim-Dûl's Hex,{1}{B},2.0,At the beginning of your upkeep  for each player  This Card deals 1 damage to that player unless they pay {B} or {3}.,0.25,ice
5377,Eldrazi Temple,_,0.0,{T}: Add {C}. {T}: Add {C}{C}. Spend this mana only to cast colorless Eldrazi spells or activate abilities of colorless Eldrazi.,4.62,ddp
5378,Font of Fertility,{G},1.0,{1}{G}  Sacrifice This Card: Search your library for a basic land card  put it onto the battlefield tapped  then shuffle.,0.33,jou
5379,Reward the Faithful,{W},1.0,Any number of target players each gain life equal to the highest mana value among permanents you control.,0.10,scg
5380,Renegade Tactics,{R},1.0,Target creature can't block this turn. Draw a card.,0.09,cmr
5381,"Liliana, Death's Majesty",{3}{B}{B},5.0,+1: Create a 2/2 black Zombie creature token. Mill two cards. −3: Return target creature card from your graveyard to the battlefield. That creature is a black Zombie in addition to its other colors and types. −7: Destroy all non-Zombie creatures.,1.92,mic
5382,Bazaar of Wonders,{3}{U}{U},5.0,When This Card enters the battlefield  exile all graveyards. Whenever a player casts a spell  counter it if a card with the same name is in a graveyard or a nontoken permanent with the same name is on the battlefield.,1.74,mir
5383,Reap,{1}{G},2.0,Return up to X target cards from your graveyard to your hand  where X is the number of black permanents target opponent controls as you cast this spell.,1.50,tmp
5384,Sigarda's Summons,{4}{W}{W},6.0,Creatures you control with +1/+1 counters on them have base power and toughness 4/4  have flying  and are Angels in addition to their other types.,0.24,vow
5385,Stinging Shot,{G},1.0,Put three -1/-1 counters on target creature with flying. Cycling {2} ({2}  Discard this card: Draw a card.),0.04,akh
5386,Thieves' Tools,{1}{B},2.0,"When This Card enters the battlefield  create a Treasure token. (It's an artifact with ""{T}  Sacrifice this artifact: Add one mana of any color."") Equipped creature can't be blocked as long as its power is 3 or less. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",0.03,clb
5387,Liliana's Influence,{4}{B}{B},6.0,Put a -1/-1 counter on each creature you don't control. You may search your library and/or graveyard for a card named Liliana  Death Wielder  reveal it  and put it into your hand. If you search your library this way  shuffle.,0.28,akh
5388,The Grand Calcutron,{W}{U},2.0,This Card can be your commander. When This Card enters the battlefield  each player's hand becomes a program (an ordered row of revealed cards). Players can only play the first card of their program. If a card would be put into a player's hand from anywhere  that player reveals it and places it anywhere within their program instead. At the beginning of each player's end step  if that player's program has fewer than five cards  they draw cards equal to the difference.,0.63,ust
5389,Night's Whisper,{1}{B},2.0,You draw two cards and you lose 2 life.,2.99,dmc
5390,Hissing Quagmire,_,0.0,This Card enters the battlefield tapped. {T}: Add {B} or {G}. {1}{B}{G}: This Card becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.,0.70,ogw
